Name,Company,Price_before,Discount,Price_After,Pack_Size,Availability
Zestril,ICI Pakistan Limited,Rs 202,10% Off,182, 1x14's,Available
Zestril,ICI Pakistan Limited,Rs 202,10% Off,182, 1x14's,Available
Zestril,ICI Pakistan Limited,Rs 202,10% Off,182, 1x14's,Available
Zestril,ICI Pakistan Limited,Rs 388,10% Off,350, 1x14's,Available
Zestril,ICI Pakistan Limited,Rs 388,10% Off,350, 1x14's,Available
Zestril,ICI Pakistan Limited,Rs 388,10% Off,350, 1x14's,Available
Zestril,ICI Pakistan Limited,Rs 748,10% Off,673, 1x14's,Available
Zestril,ICI Pakistan Limited,Rs 748,10% Off,673, 1x14's,Available
Zestril,ICI Pakistan Limited,Rs 748,10% Off,673, 1x14's,Available
Zofran 8mg,GlaxoSmithKline,Rs 650,10% Off,585, 1,Available
Zeegap,Hilton,Rs 376,10% Off,338, 1x14's,Available
Zeegap,Hilton,Rs 376,10% Off,338, 1x14's,Available
Zeegap,Hilton,Rs 376,10% Off,338, 1x14's,Available
Zeegap,Hilton,Rs 376,10% Off,338, 1x14's,Available
Zeegap,Hilton,Rs 376,10% Off,338, 1x14's,Available
Zeegap,Hilton,Rs 481,10% Off,433, 1x14's,Available
Zeegap,Hilton,Rs 481,10% Off,433, 1x14's,Available
Zeegap,Hilton,Rs 481,10% Off,433, 1x14's,Available
Zeegap,Hilton,Rs 481,10% Off,433, 1x14's,Available
Zeegap,Hilton,Rs 481,10% Off,433, 1x14's,Available
Zeegap,Hilton,Rs 624,10% Off,562, 1x14's,Available
Zeegap,Hilton,Rs 624,10% Off,562, 1x14's,Available
Zeegap,Hilton,Rs 624,10% Off,562, 1x14's,Available
Zeegap,Hilton,Rs 624,10% Off,562, 1x14's,Available
Zeegap,Hilton,Rs 624,10% Off,562, 1x14's,Available
Zeegap,Hilton,Rs 336,10% Off,302, 1x14's,Available
Zeegap,Hilton,Rs 336,10% Off,302, 1x14's,Available
Zeegap,Hilton,Rs 336,10% Off,302, 1x14's,Available
Zeegap,Hilton,Rs 336,10% Off,302, 1x14's,Available
Zeegap,Hilton,Rs 336,10% Off,302, 1x14's,Available
Zeegap,Hilton,Rs 543,10% Off,489, 1x14's,Available
Zeegap,Hilton,Rs 543,10% Off,489, 1x14's,Available
Zeegap,Hilton,Rs 543,10% Off,489, 1x14's,Available
Zeegap,Hilton,Rs 543,10% Off,489, 1x14's,Available
Zeegap,Hilton,Rs 543,10% Off,489, 1x14's,Available
Zopent,Hilton,Rs 375,10% Off,338, 2x10's,Available
Zopent,Hilton,Rs 375,10% Off,338, 2x10's,Available
Zopent,Hilton,Rs 160,10% Off,144, 2x7's,Available
Zopent,Hilton,Rs 160,10% Off,144, 2x7's,Available
Zocor,OBS,Rs 646,10% Off,582, 1x10's,Available
Zocor,OBS,Rs 646,10% Off,582, 1x10's,Sold Out
Zocor,OBS,Rs 646,10% Off,582, 1x10's,Sold Out
Zocor,OBS,Rs 324,10% Off,292, 1x10's,Available
Zocor,OBS,Rs 324,10% Off,292, 1x10's,Sold Out
Zocor,OBS,Rs 324,10% Off,292, 1x10's,Sold Out
Zocor,OBS,"Rs 1,011",10% Off,910, 1x10's,Available
Zocor,OBS,"Rs 1,011",10% Off,910, 1x10's,Sold Out
Zocor,OBS,"Rs 1,011",10% Off,910, 1x10's,Sold Out
Zylexx SR 75mg,A'raf,Rs 159,10% Off,143, 10's x 2,Available
Zetro,Getz Pharma,Rs 270,10% Off,243, 15 ml,Available
Zetro,Getz Pharma,Rs 270,10% Off,243, 15 ml,Available
Zetro,Getz Pharma,Rs 270,10% Off,243, 15 ml,Available
Zetro,Getz Pharma,Rs 270,10% Off,243, 15 ml,Available
Zetro,Getz Pharma,Rs 461,10% Off,415, 1 x 10's,Available
Zetro,Getz Pharma,Rs 461,10% Off,415, 1 x 10's,Available
Zetro,Getz Pharma,Rs 461,10% Off,415, 1 x 10's,Available
Zetro,Getz Pharma,Rs 461,10% Off,415, 1 x 10's,Available
Zetro,Getz Pharma,Rs 230,10% Off,207, 2 x 3's,Available
Zetro,Getz Pharma,Rs 230,10% Off,207, 2 x 3's,Available
Zetro,Getz Pharma,Rs 230,10% Off,207, 2 x 3's,Available
Zetro,Getz Pharma,Rs 230,10% Off,207, 2 x 3's,Available
Zetro,Getz Pharma,Rs 469,10% Off,422, 25 ml,Available
Zetro,Getz Pharma,Rs 469,10% Off,422, 25 ml,Available
Zetro,Getz Pharma,Rs 469,10% Off,422, 25 ml,Available
Zetro,Getz Pharma,Rs 469,10% Off,422, 25 ml,Available
Zafon,Getz Pharma,Rs 230,10% Off,207, 1 x 10's,Available
Zentro,Bosch,Rs 227,10% Off,204, 14,Available
Zatofen,Novartis,Rs 153,10% Off,138, 60ml,Available
Zatofen,Novartis,Rs 153,10% Off,138, 60ml,Available
Zatofen,Novartis,Rs 112,10% Off,100, 3x10's,Available
Zatofen,Novartis,Rs 112,10% Off,100, 3x10's,Available
Zyprexa,Eli Lilly,"Rs 4,483",10% Off,4035, 4x7's,Available
Zyprexa,Eli Lilly,"Rs 4,483",10% Off,4035, 4x7's,Available
Zyprexa,Eli Lilly,"Rs 4,483",10% Off,4035, 4x7's,Sold Out
Zyprexa,Eli Lilly,"Rs 2,384",10% Off,2146, 1x7's,Available
Zyprexa,Eli Lilly,"Rs 2,384",10% Off,2146, 1x7's,Available
Zyprexa,Eli Lilly,"Rs 2,384",10% Off,2146, 1x7's,Sold Out
Zyprexa,Eli Lilly,"Rs 1,722",10% Off,1550, 4x7's,Available
Zyprexa,Eli Lilly,"Rs 1,722",10% Off,1550, 4x7's,Available
Zyprexa,Eli Lilly,"Rs 1,722",10% Off,1550, 4x7's,Sold Out
ZOLREST 600.MG TAB,Bosch,Rs 600,10% Off,540, 12,Available
Zeenaryl,High-Q,Rs 80,10% Off,72, 2x10's,Available
Zeenaryl,High-Q,Rs 80,10% Off,72, 2x10's,Available
Zeenaryl,High-Q,Rs 80,10% Off,72, 2x10's,Available
Zeenaryl,High-Q,Rs 80,10% Off,72, 2x10's,Available
Zeenaryl,High-Q,Rs 120,10% Off,108, 2x10's,Available
Zeenaryl,High-Q,Rs 120,10% Off,108, 2x10's,Available
Zeenaryl,High-Q,Rs 120,10% Off,108, 2x10's,Available
Zeenaryl,High-Q,Rs 120,10% Off,108, 2x10's,Available
Zeenaryl,High-Q,Rs 127,10% Off,114, 2x10's,Available
Zeenaryl,High-Q,Rs 127,10% Off,114, 2x10's,Available
Zeenaryl,High-Q,Rs 127,10% Off,114, 2x10's,Available
Zeenaryl,High-Q,Rs 127,10% Off,114, 2x10's,Available
Zeenaryl,High-Q,Rs 180,10% Off,162, 2x10's,Available
Zeenaryl,High-Q,Rs 180,10% Off,162, 2x10's,Available
Zeenaryl,High-Q,Rs 180,10% Off,162, 2x10's,Available
Zeenaryl,High-Q,Rs 180,10% Off,162, 2x10's,Available
Zolid,Getz Pharma,Rs 208,10% Off,187, 2 x 7's,Available
Zolid,Getz Pharma,Rs 208,10% Off,187, 2 x 7's,Available
Zolid,Getz Pharma,Rs 208,10% Off,187, 2 x 7's,Available
Zolid,Getz Pharma,Rs 300,10% Off,270, 2 x 7's,Available
Zolid,Getz Pharma,Rs 300,10% Off,270, 2 x 7's,Available
Zolid,Getz Pharma,Rs 300,10% Off,270, 2 x 7's,Available
Zolid,Getz Pharma,Rs 300,10% Off,270, 2 x 7's,Available
Zolid,Getz Pharma,Rs 300,10% Off,270, 2 x 7's,Available
Zolid,Getz Pharma,Rs 300,10% Off,270, 2 x 7's,Available
Zoliget,Getz Pharma,Rs 158,10% Off,142, 2 x 7's,Available
Zoliget,Getz Pharma,Rs 158,10% Off,142, 2 x 7's,Available
Zoliget,Getz Pharma,Rs 158,10% Off,142, 2 x 7's,Available
Zoliget,Getz Pharma,Rs 221,10% Off,198, 2 x 7's,Available
Zoliget,Getz Pharma,Rs 221,10% Off,198, 2 x 7's,Available
Zoliget,Getz Pharma,Rs 221,10% Off,198, 2 x 7's,Available
Zoliget,Getz Pharma,Rs 265,10% Off,239, 2 x 7's,Available
Zoliget,Getz Pharma,Rs 265,10% Off,239, 2 x 7's,Available
Zoliget,Getz Pharma,Rs 265,10% Off,239, 2 x 7's,Available
Zolid plus,Getz Pharma,Rs 98,10% Off,88, 4 x 7's,Available
Zolid plus,Getz Pharma,Rs 98,10% Off,88, 4 x 7's,Available
Zolid plus,Getz Pharma,Rs 105,10% Off,95, 2 x 7's,Available
Zolid plus,Getz Pharma,Rs 105,10% Off,95, 2 x 7's,Available
Zultra,Wilshire,Rs 154,10% Off,138, 2 x10s,Available
Zitrigine,A'raf,Rs 245,10% Off,221, 3x10's,Available
Zitrigine,A'raf,Rs 245,10% Off,221, 3x10's,Sold Out
Zitrigine,A'raf,Rs 218,10% Off,196, 3x10's,Available
Zitrigine,A'raf,Rs 218,10% Off,196, 3x10's,Sold Out
Zopir,Glitz,Rs 200,10% Off,180, 6X10,Available
Zopir,Glitz,Rs 200,10% Off,180, 6X10,Sold Out
Zopir,Glitz,Rs 128,10% Off,115, 60,Available
Zopir,Glitz,Rs 128,10% Off,115, 60,Sold Out
Zepose,Wilshire,Rs 330,10% Off,297, 10,Available
Zepose,Wilshire,Rs 330,10% Off,297, 10,Sold Out
Zepose,Wilshire,Rs 330,10% Off,297, 10,Sold Out
Zepose,Wilshire,Rs 330,10% Off,297, 10,Sold Out
Zepose,Wilshire,Rs 322,10% Off,290, 10,Available
Zepose,Wilshire,Rs 322,10% Off,290, 10,Sold Out
Zepose,Wilshire,Rs 322,10% Off,290, 10,Sold Out
Zepose,Wilshire,Rs 322,10% Off,290, 10,Sold Out
Zepose,Wilshire,Rs 322,10% Off,290, 14,Available
Zepose,Wilshire,Rs 322,10% Off,290, 14,Sold Out
Zepose,Wilshire,Rs 322,10% Off,290, 14,Sold Out
Zepose,Wilshire,Rs 322,10% Off,290, 14,Sold Out
Zepose,Wilshire,Rs 105,10% Off,95, 10,Available
Zepose,Wilshire,Rs 105,10% Off,95, 10,Sold Out
Zepose,Wilshire,Rs 105,10% Off,95, 10,Sold Out
Zepose,Wilshire,Rs 105,10% Off,95, 10,Sold Out
Zepose Plus,Wilshire,Rs 210,10% Off,189, 10,Sold Out
Zepose Plus,Wilshire,Rs 210,10% Off,189, 10,Sold Out
Zepose Plus,Wilshire,Rs 350,10% Off,315, 10,Sold Out
Zepose Plus,Wilshire,Rs 350,10% Off,315, 10,Sold Out
Zyloric,GlaxoSmithKline,Rs 34,10% Off,31, 5 x 10's,Available
Zyloric,GlaxoSmithKline,Rs 34,10% Off,31, 5 x 10's,Available
Zyloric,GlaxoSmithKline,Rs 83,10% Off,75, 30,Available
Zyloric,GlaxoSmithKline,Rs 83,10% Off,75, 30,Available
Zurig,Getz Pharma,Rs 288,10% Off,259, 2 x 10's,Available
Zurig,Getz Pharma,Rs 288,10% Off,259, 2 x 10's,Available
Zurig,Getz Pharma,Rs 450,10% Off,405, 2 x 10's,Available
Zurig,Getz Pharma,Rs 450,10% Off,405, 2 x 10's,Available
Zometa,Novartis,"Rs 23,216",10% Off,20894, 1 Vialx100ml,Sold Out
Z-Mac,Opal,Rs 229,10% Off,206, 15ml,Available
Z-Mac,Opal,Rs 229,10% Off,206, 15ml,Available
Z-Mac,Opal,Rs 688,10% Off,619, 2x5's,Available
Z-Mac,Opal,Rs 688,10% Off,619, 2x5's,Available
Zeecin,Wilshire,Rs 180,10% Off,162, 15ml,Available
Zeecin,Wilshire,Rs 180,10% Off,162, 15ml,Available
Zeecin,Wilshire,Rs 180,10% Off,162, 15ml,Available
Zeecin,Wilshire,Rs 180,10% Off,162, 15ml,Available
Zeecin,Wilshire,Rs 225,10% Off,203, 6,Available
Zeecin,Wilshire,Rs 225,10% Off,203, 6,Available
Zeecin,Wilshire,Rs 225,10% Off,203, 6,Available
Zeecin,Wilshire,Rs 225,10% Off,203, 6,Available
Zeecin,Wilshire,Rs 193,10% Off,173, 3,Available
Zeecin,Wilshire,Rs 193,10% Off,173, 3,Available
Zeecin,Wilshire,Rs 193,10% Off,173, 3,Available
Zeecin,Wilshire,Rs 193,10% Off,173, 3,Available
Zeecin,Wilshire,Rs 113,10% Off,101, 2 x 3's,Available
Zeecin,Wilshire,Rs 113,10% Off,101, 2 x 3's,Available
Zeecin,Wilshire,Rs 113,10% Off,101, 2 x 3's,Available
Zeecin,Wilshire,Rs 113,10% Off,101, 2 x 3's,Available
Zetamax capsule,Pfizer,Rs 301,10% Off,271, 1x6's,Available
Zetamax syrup,Pfizer,Rs 365,10% Off,328, 22.5ml,Available
Zezot,Bosch,Rs 169,10% Off,152, 6,Available
Zezot,Bosch,Rs 169,10% Off,152, 6,Available
Zezot,Bosch,Rs 169,10% Off,152, 6,Available
Zezot,Bosch,Rs 169,10% Off,152, 6,Available
Zezot,Bosch,Rs 268,10% Off,241, 1 Vial,Available
Zezot,Bosch,Rs 268,10% Off,241, 1 Vial,Available
Zezot,Bosch,Rs 268,10% Off,241, 1 Vial,Available
Zezot,Bosch,Rs 268,10% Off,241, 1 Vial,Available
Zezot,Bosch,Rs 272,10% Off,244, 15ml,Available
Zezot,Bosch,Rs 272,10% Off,244, 15ml,Available
Zezot,Bosch,Rs 272,10% Off,244, 15ml,Available
Zezot,Bosch,Rs 272,10% Off,244, 15ml,Available
Zezot,Bosch,Rs 346,10% Off,311, 6,Available
Zezot,Bosch,Rs 346,10% Off,311, 6,Available
Zezot,Bosch,Rs 346,10% Off,311, 6,Available
Zezot,Bosch,Rs 346,10% Off,311, 6,Available
Zithro,Davis Pharma,Rs 127,10% Off,114, 6,Available
Zithro,Davis Pharma,Rs 127,10% Off,114, 6,Available
Zithro,Davis Pharma,Rs 275,10% Off,248, 6,Available
Zithro,Davis Pharma,Rs 275,10% Off,248, 6,Available
Zithrosan,Sante,Rs 432,10% Off,389, 10,Available
Zithrosan,Sante,Rs 432,10% Off,389, 10,Available
Zithrosan,Sante,Rs 432,10% Off,389, 10,Available
Zithrosan,Sante,Rs 245,10% Off,220, 15ml,Available
Zithrosan,Sante,Rs 245,10% Off,220, 15ml,Available
Zithrosan,Sante,Rs 245,10% Off,220, 15ml,Available
Zithrosan,Sante,Rs 298,10% Off,268, 5 ml,Available
Zithrosan,Sante,Rs 298,10% Off,268, 5 ml,Available
Zithrosan,Sante,Rs 298,10% Off,268, 5 ml,Available
Zonacin,Akhai,Rs 185,10% Off,167, 10,Available
Zeclorin,Bryon,Rs 270,10% Off,243, 10,Available
Zeclorin,Bryon,Rs 270,10% Off,243, 10,Available
Zeclorin,Bryon,Rs 270,10% Off,243, 10,Sold Out
Zeclorin,Bryon,Rs 445,10% Off,401, 10,Available
Zeclorin,Bryon,Rs 445,10% Off,401, 10,Available
Zeclorin,Bryon,Rs 445,10% Off,401, 10,Sold Out
Zeclorin,Bryon,Rs 223,10% Off,201, 60ml,Available
Zeclorin,Bryon,Rs 223,10% Off,201, 60ml,Available
Zeclorin,Bryon,Rs 223,10% Off,201, 60ml,Sold Out
Zamoclav,Zafa,Rs 226,10% Off,203, 6 Vial,Available
Zamoclav,Zafa,Rs 226,10% Off,203, 6 Vial,Available
Zamoclav,Zafa,Rs 226,10% Off,203, 6 Vial,Available
Zamoclav,Zafa,Rs 226,10% Off,203, 6 Vial,Available
Zamoclav,Zafa,Rs 226,10% Off,203, 6 Vial,Available
Zamoclav,Zafa,Rs 226,10% Off,203, 6 Vial,Available
Zamoclav,Zafa,Rs 226,10% Off,203, 6 Vial,Available
Zamoclav,Zafa,Rs 133,10% Off,120, 1 Vial,Available
Zamoclav,Zafa,Rs 133,10% Off,120, 1 Vial,Available
Zamoclav,Zafa,Rs 133,10% Off,120, 1 Vial,Available
